"Correlation.group","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Gene.Name","Count"
"Weak correlation","GO:0045103","intermediate filament-based process","9/249","10/1099",0.9,3.97228915662651,5.10820711890776,1.12628009680785e-05,0.0102660430824035,0.0102660430824035,"P13647/Q04695/P08670/P02533/Q15465/P08727/P48668/P58107/P05783","KRT5/KRT17/VIM/KRT14/SHH/KRT19/KRT6C/EPPK1/KRT18",9
"Weak correlation","GO:0045104","intermediate filament cytoskeleton organization","9/249","10/1099",0.9,3.97228915662651,5.10820711890776,1.12628009680785e-05,0.0102660430824035,0.0102660430824035,"P13647/Q04695/P08670/P02533/Q15465/P08727/P48668/P58107/P05783","KRT5/KRT17/VIM/KRT14/SHH/KRT19/KRT6C/EPPK1/KRT18",9
"Strong correlation","GO:0007586","digestion","21/368","29/1099",0.724137931034483,2.16257496251874,4.49981300647874,1.62444793312605e-05,0.0301984870768132,0.0299411403253022,"P02647/P01011/P06727/Q6UWV6/P12104/Q03403/P16233/P41159/P07478/P04746/P19971/P04155/P00995/P07148/Q02817/Q13231/Q96NZ9/P0DJD7/P01130/Q9NR71/P17538","APOA1/SERPINA3/APOA4/ENPP7/FABP2/TFF2/PNLIP/LEP/PRSS2/AMY2A/TYMP/TFF1/SPINK1/FABP1/MUC2/CHIT1/PRAP1/PGA4/LDLR/ASAH2/CTRB1",21
"Weak correlation","GO:0015318","inorganic molecular entity transmembrane transporter activity","8/252","10/1112",0.8,3.53015873015873,4.34875603638626,0.000185377120666758,0.0407829665466868,0.0400024313017742,"O43681/O75348/O14791/P00167/P05026/P02730/P98161/Q15043","GET3/ATP6V1G1/APOL1/CYB5A/ATP1B1/SLC4A1/PKD1/SLC39A14",8
"Weak correlation","GO:0005882","intermediate filament","9/254","11/1124",0.818181818181818,3.62061560486757,4.71736188031279,4.86917048784976e-05,0.00545347094639173,0.0049460521271316,"P13647/Q04695/P08670/P02533/P08727/P48668/P58107/P05783/P05787","KRT5/KRT17/VIM/KRT14/KRT19/KRT6C/EPPK1/KRT18/KRT8",9
"Weak correlation","GO:0045111","intermediate filament cytoskeleton","9/254","11/1124",0.818181818181818,3.62061560486757,4.71736188031279,4.86917048784976e-05,0.00545347094639173,0.0049460521271316,"P13647/Q04695/P08670/P02533/P08727/P48668/P58107/P05783/P05787","KRT5/KRT17/VIM/KRT14/KRT19/KRT6C/EPPK1/KRT18/KRT8",9
"Weak correlation","Subcellular location: Intermediate filaments","Subcellular location: Intermediate filaments","10/253","12/1125",0.833333333333333,3.70553359683794,5.07319021219419,1.22112974655732e-05,0.001001326392177,0.001001326392177,"P13647/Q04695/P08670/P02533/Q96G03/P08727/Q15102/P48668/P58107/P05787","KRT5/KRT17/VIM/KRT14/PGM2/KRT19/PAFAH1B3/KRT6C/EPPK1/KRT8",10
"Strong correlation","Protein class: Predicted secreted proteins","Protein class: Predicted secreted proteins","182/375","443/1125",0.410835214446953,1.23250564334086,4.44233526709346,6.45340573206337e-06,0.000529179270029196,0.000461927989242431,"P02647/P20742/P01011/P04275/P00751/P05546/P06727/P07358/P02748/P10643/P29622/P43652/P61769/P05451/P27169/Q15848/Q96QR1/Q08380/O43866/P01034/P03952/P18065/P02750/P02763/P26927/P02452/O95445/P07998/P02775/P02743/Q6UXB8/P24592/P02654/P01033/P05090/Q96KN2/P07858/P06276/Q9Y5C1/P41222/P11226/Q9BXR6/Q86TH1/P23284/Q9Y646/P80511/Q9UGM5/P09486/P27487/P18428/P36980/Q9UFP1/Q15113/Q86U17/P07339/Q99983/Q15166/P55145/Q8TDL5/Q8NBP7/P26447/P06744/P08833/Q08830/P14780/P36222/Q9BYJ0/P55774/P11684/Q9UBP4/Q92484/Q96MK3/Q06141/P06858/Q9BUN1/Q6GTS8/Q9UHL4/P08254/Q14515/Q02747/Q969H8/P15085/P14174/Q8WXD2/Q12884/P09093/O14786/P02776/A1L4H1/Q03403/P30740/Q7Z5L0/Q9BUD6/Q9NZK5/Q6UX06/Q92520/P22894/P22692/P13501/O14793/Q15828/Q9NTU7/P15086/P16233/Q86VB7/P41159/P49747/O15467/P08217/Q9Y2Y8/Q99727/O43915/P02671/P09603/Q16663/Q9Y2E5/Q6UWN8/P18827/P80188/P07478/P04746/O15240/P21980/Q96PD5/O75594/P01225/P04054/P47972/P09237/P48304/P04155/Q16820/P14543/P00995/Q9UP79/Q6UXB2/Q76LX8/Q07507/P12644/P13747/Q9NQ79/Q06033/P13727/P04278/P08709/P17936/P02461/Q14508/Q92496/P10912/O43278/P54108/P35916/Q99435/P12821/Q9NPH3/P05121/Q96RD9/Q9Y251/Q13231/P48960/P37173/Q96NZ9/P23471/P41271/P23280/P16562/P07911/P10451/P0DJD7/P17405/A6NI73/Q01638/Q9BY76/P17538/Q6UXI7/P06870/Q15389/Q13316/P20333/O75888/Q96F46","APOA1/PZP/SERPINA3/VWF/CFB/SERPIND1/APOA4/C8B/C9/C7/SERPINA4/AFM/B2M/REG1A/PON1/ADIPOQ/SCGB3A1/LGALS3BP/CD5L/CST3/KLKB1/IGFBP2/LRG1/ORM1/MST1/COL1A1/APOM/RNASE1/PPBP/APCS/PI16/IGFBP6/APOC1/TIMP1/APOD/CNDP1/CTSB/BCHE/ANGPTL3/PTGDS/MBL2/CFHR5/ADAMTSL2/PPIB/CPQ/S100A12/FETUB/SPARC/DPP4/LBP/CFHR2/GASK1A/PCOLCE/SERPINA11/CTSD/OMD/PON3/MANF/BPIFB1/PCSK9/S100A4/GPI/IGFBP1/FGL1/MMP9/CHI3L1/FGFBP2/CCL18/SCGB1A1/DKK3/SMPDL3A/FAM20A/REG3A/LPL/MENT/PM20D1/DPP7/MMP3/SPARCL1/GUCA2A/MYDGF/CPA1/MIF/SCG3/FAP/CELA3A/NRP1/PF4/SSC5D/TFF2/SERPINB1/VMO1/SPON2/ADA2/OLFM4/FAM3C/MMP8/IGFBP4/CCL5/MSTN/CST6/CBLN4/CPB1/PNLIP/CD163/LEP/COMP/CCL16/CELA2A/PRG3/TIMP4/VEGFD/FGA/CSF1/CCL15/MAN2B2/SPINK6/SDC1/LCN2/PRSS2/AMY2A/VGF/TGM2/PGLYRP2/PGLYRP1/FSHB/PLA2G1B/NPTX2/MMP7/REG1B/TFF1/MEP1B/NID1/SPINK1/ADAMTS8/CXCL17/ADAMTS13/DPT/BMP4/HLA-E/CRTAC1/ITIH3/PRG2/SHBG/F7/IGFBP3/COL3A1/WFDC2/CFHR4/GHR/SPINT1/CRISP3/FLT4/NELL2/ACE/IL1RAP/SERPINE1/FCRL5/HPSE/CHIT1/ADGRE5/TGFBR2/PRAP1/PTPRZ1/NBL1/CA6/CRISP2/UMOD/SPP1/PGA4/SMPD1/LILRA5/IL1RL1/ANGPTL4/CTRB1/VIT/KLK1/ANGPT1/DMP1/TNFRSF1B/TNFSF13/IL17RA",182
"Strong correlation","Secretome location: Secreted to digestive system","Secretome location: Secreted to digestive system","23/375","33/1125",0.696969696969697,2.09090909090909,4.49575224092567,1.60238205646894e-05,0.000579772743963967,0.000506091740559047,"P05451/P07998/Q06141/Q6GTS8/P15085/P09093/Q03403/Q6UX06/P15086/P16233/P08217/P07478/P04746/P04054/P48304/P04155/Q16820/P00995/Q96NZ9/P23280/P0DJD7/P17538/P06870","REG1A/RNASE1/REG3A/PM20D1/CPA1/CELA3A/TFF2/OLFM4/CPB1/PNLIP/CELA2A/PRSS2/AMY2A/PLA2G1B/REG1B/TFF1/MEP1B/SPINK1/PRAP1/CA6/PGA4/CTRB1/KLK1",23
"Strong correlation","Secretome function: Enzyme inhibitor","Secretome function: Enzyme inhibitor","16/375","20/1125",0.8,2.4,4.46508830535978,2.12111979499012e-05,0.000579772743963967,0.000506091740559047,"P20742/P29622/P01034/Q6UXB8/Q9UGM5/Q86U17/P11684/P30740/Q15828/Q99727/Q6UWN8/P00995/Q06033/Q14508/O43278/P05121","PZP/SERPINA4/CST3/PI16/FETUB/SERPINA11/SCGB1A1/SERPINB1/CST6/TIMP4/SPINK6/SPINK1/ITIH3/WFDC2/SPINT1/SERPINE1",16
"Strong correlation","Secretome location: Secreted to blood","Secretome location: Secreted to blood","118/375","281/1125",0.419928825622776,1.25978647686833,3.55358439963202,0.000284673269998718,0.00583580203497372,0.00509415325260863,"P02647/P20742/P01011/P04275/P00751/P05546/P06727/P07358/P02748/P10643/P29622/P43652/P61769/P27169/Q15848/Q96QR1/Q08380/O43866/P01034/P03952/P18065/P02750/P02763/P26927/O95445/P02775/P02743/Q6UXB8/P24592/P02654/P01033/P05090/Q96KN2/P07858/P06276/Q9Y5C1/P41222/P11226/Q9BXR6/P23284/Q9Y646/P80511/Q9UGM5/P09486/P27487/P18428/P36980/Q86U17/P07339/Q15166/P55145/Q8NBP7/P26447/P06744/P08833/Q08830/P14780/P36222/Q9BYJ0/P55774/Q92484/P06858/Q9BUN1/Q02747/Q969H8/P14174/Q12884/P02776/P30740/Q7Z5L0/Q9BUD6/Q9NZK5/P22692/P13501/Q86VB7/P41159/O15467/O43915/P02671/P09603/Q16663/Q9Y2E5/P18827/O15240/Q96PD5/O75594/P01225/P47972/Q6UXB2/Q76LX8/P12644/P13747/Q06033/P04278/P08709/P17936/P19320/Q92496/P10912/O43278/P35916/Q99435/P12821/Q9NPH3/P05121/Q96RD9/Q13231/P48960/P37173/P10451/P17405/A6NI73/Q01638/Q9BY76/Q15389/P20333/O75888/Q96F46","APOA1/PZP/SERPINA3/VWF/CFB/SERPIND1/APOA4/C8B/C9/C7/SERPINA4/AFM/B2M/PON1/ADIPOQ/SCGB3A1/LGALS3BP/CD5L/CST3/KLKB1/IGFBP2/LRG1/ORM1/MST1/APOM/PPBP/APCS/PI16/IGFBP6/APOC1/TIMP1/APOD/CNDP1/CTSB/BCHE/ANGPTL3/PTGDS/MBL2/CFHR5/PPIB/CPQ/S100A12/FETUB/SPARC/DPP4/LBP/CFHR2/SERPINA11/CTSD/PON3/MANF/PCSK9/S100A4/GPI/IGFBP1/FGL1/MMP9/CHI3L1/FGFBP2/CCL18/SMPDL3A/LPL/MENT/GUCA2A/MYDGF/MIF/FAP/PF4/SERPINB1/VMO1/SPON2/ADA2/IGFBP4/CCL5/CD163/LEP/CCL16/VEGFD/FGA/CSF1/CCL15/MAN2B2/SDC1/VGF/PGLYRP2/PGLYRP1/FSHB/NPTX2/CXCL17/ADAMTS13/BMP4/HLA-E/ITIH3/SHBG/F7/IGFBP3/VCAM1/CFHR4/GHR/SPINT1/FLT4/NELL2/ACE/IL1RAP/SERPINE1/FCRL5/CHIT1/ADGRE5/TGFBR2/SPP1/SMPD1/LILRA5/IL1RL1/ANGPTL4/ANGPT1/TNFRSF1B/TNFSF13/IL17RA",118
"Strong correlation","Secretome function: Enzyme","Secretome function: Enzyme","57/375","122/1125",0.467213114754098,1.4016393442623,3.32073221968747,0.000794108082287805,0.0125243218360316,0.0109326557747131,"P27169/P04066/P07998/P09172/Q96KN2/Q92820/P07858/P06276/O95497/P23284/Q9Y646/Q6UWV6/P07339/Q15166/O43895/P13667/Q8NBP7/P14780/Q92484/P16444/P06858/Q6GTS8/Q9UHL4/P15085/P09093/Q9UBX1/Q9NZK5/Q13508/P22894/P15086/P16233/Q10588/P08217/Q9Y2E5/P07478/P04746/P21980/P04054/P09237/Q16820/P21589/Q9UP79/Q9UJA9/O43280/P12821/P08236/Q13231/P23471/P23280/P23141/P0DJD7/P17405/Q9NR71/P19440/P17538/P06870/P35475","PON1/FUCA1/RNASE1/DBH/CNDP1/GGH/CTSB/BCHE/VNN1/PPIB/CPQ/ENPP7/CTSD/PON3/XPNPEP2/PDIA4/PCSK9/MMP9/SMPDL3A/DPEP1/LPL/PM20D1/DPP7/CPA1/CELA3A/CTSF/ADA2/ART3/MMP8/CPB1/PNLIP/BST1/CELA2A/MAN2B2/PRSS2/AMY2A/TGM2/PLA2G1B/MMP7/MEP1B/NT5E/ADAMTS8/ENPP5/TREH/ACE/GUSB/CHIT1/PTPRZ1/CA6/CES1/PGA4/SMPD1/ASAH2/GGT1/CTRB1/KLK1/IDUA",57
"Strong correlation","Tissue: pancreas","Tissue: pancreas","21/375","35/1125",0.6,1.8,3.3984346099587,0.000916413792880362,0.0125243218360316,0.0109326557747131,"P01011/P05451/P18065/P07998/P16444/Q06141/Q6GTS8/P15085/P09093/Q6UX06/P15086/P16233/P08217/P07478/P04746/P04054/P48304/P00995/P09525/P17538/P06870","SERPINA3/REG1A/IGFBP2/RNASE1/DPEP1/REG3A/PM20D1/CPA1/CELA3A/OLFM4/CPB1/PNLIP/CELA2A/PRSS2/AMY2A/PLA2G1B/REG1B/SPINK1/ANXA4/CTRB1/KLK1",21
